   2933 
    125 IPR001680	WD40 repeat
     75 IPR000742	EGF-like domain
     53 IPR005455	Profilin
     48 IPR000719	Protein kinase domain
     38 IPR000859	CUB domain
     35 IPR013783	Immunoglobulin-like fold
     34 IPR002713	FF domain
     30 IPR019734	Tetratricopeptide repeat
     30 IPR002048	EF-hand domain
     28 IPR027417	P-loop containing nucleoside triphosphate hydrolase
     28 IPR015917	Peptidase C14A, caspase catalytic domain
     28 IPR003961	Fibronectin type III
     28 IPR001506	Peptidase M12A
     28 IPR000998	MAM domain
     27 IPR000436	Sushi/SCR/CCP domain
     26 IPR036179	Immunoglobulin-like domain superfamily
     26 IPR018108	Mitochondrial substrate/solute carrier
     26 IPR003582	ShKT domain
     25 IPR011009	Protein kinase-like domain superfamily
     25 IPR002126	Cadherin-like
     24 IPR007110	Immunoglobulin-like domain
     24 IPR000276	G protein-coupled receptor, rhodopsin-like
     23 IPR036517	FF domain superfamily
     23 IPR035914	Spermadhesin, CUB domain superfamily
     23 IPR000884	Thrombospondin type-1 (TSP1) repeat
     22 IPR001623	DnaJ domain
     22 IPR000242	PTP type protein phosphatase
     21 IPR002401	Cytochrome P450, E-class, group I
     21 IPR001881	EGF-like calcium-binding domain
     21 IPR000668	Peptidase C1A, papain C-terminal
     20 IPR005814	Aminotransferase class-III
     20 IPR001202	WW domain
     19 IPR036465	von Willebrand factor A-like domain superfamily
     19 IPR001128	Cytochrome P450
     19 IPR000504	RNA recognition motif domain
     18 IPR020472	G-protein beta WD-40 repeat
     18 IPR019775	WD40 repeat, conserved site
     18 IPR003599	Immunoglobulin subtype
     18 IPR002067	Mitochondrial carrier protein
     18 IPR002035	von Willebrand factor, type A
     18 IPR000163	Prohibitin
     17 IPR003598	Immunoglobulin subtype 2
     17 IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
     16 IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
     16 IPR015943	WD40/YVTN repeat-like-containing domain superfamily
     16 IPR013083	Zinc finger, RING/FYVE/PHD-type
     16 IPR011990	Tetratricopeptide-like helical domain superfamily
     16 IPR001632	G-protein, beta subunit
     15 IPR036322	WD40-repeat-containing domain superfamily
     15 IPR008155	Amyloidogenic glycoprotein
     15 IPR000008	C2 domain
     14 IPR013087	Zinc finger C2H2-type
     14 IPR001452	SH3 domain
     13 IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
     13 IPR008979	Galactose-binding-like domain superfamily
     13 IPR001841	Zinc finger, RING-type
     12 IPR038081	CalX-like domain superfamily
     12 IPR036249	Thioredoxin-like superfamily
     12 IPR023395	Mitochondrial carrier domain superfamily
     12 IPR016024	Armadillo-type fold
     12 IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain
     12 IPR001254	Serine proteases, trypsin domain
     12 IPR000152	EGF-type aspartate/asparagine hydroxylation site
     11 IPR036396	Cytochrome P450 superfamily
     11 IPR036188	FAD/NAD(P)-binding domain superfamily
